     Temps  Consigne  Position  Commande   Courant  Vit. Axe    Moteur
        ms    degrés    degrés     Volts        mA     rad/s     rad/s
         0      18.9      17.5       2.0       250      0.00         3
        10      88.5      17.5      21.1      4300      0.00        71
        24      88.5      18.4      21.1      4100      0.50       139
        39      88.5      20.1      21.1      3550      0.87       187
        55      88.5      22.0      21.1      3100      1.20       218
        70      88.5      24.1      21.1      2900      1.50       239
        86      88.5      26.5      21.1      2850      1.69       252
       101      88.5      28.8      21.1      2800      1.98       264
       117      88.5      31.1      21.1      2650      2.08       272
       132      88.5      33.8      21.1      2350      2.21       278
       148      88.5      36.2      21.1      2500      2.34       283
       163      88.5      38.5      21.1      2550      2.37       284
       179      88.5      41.2      21.1      2250      2.41       289
       194      88.5      43.4      21.1      2350      2.51       290
       210      88.5      45.7      21.1      2500      2.47       292
       225      88.5      48.2      21.1      2150      2.48       293
       241      88.5      50.4      21.1      2450      2.47       294
       256      88.5      52.6      21.1      2350      2.51       295
       272      88.5      54.8      21.1      2200      2.43       296
       287      88.5      57.0      21.1      2450      2.46       297
       303      88.5      59.1      21.1      2200      2.55       298
       318      88.5      61.2      21.1      2300      2.39       297
       333      88.5      63.6      21.1      2400      2.48       299
       349      88.5      65.5      21.1      2150      2.50       300
       364      88.5      67.7      21.1      2350      2.47       299
       380      88.5      70.2      21.1      2200      2.39       301
       395      88.5      72.2      21.1      2150      2.43       301
       411      88.5      74.2      21.1      2400      2.43       299
       426      88.5      76.3      18.4      1550      2.30       291
       442      88.5      78.5      15.1      1050      2.23       270
       457      88.5      80.2      12.5       750      2.12       243
       473      88.5      81.9       9.9       500      1.96       215
       488      88.5      83.4       7.7       250      1.74       186
       504      88.5      84.7       5.7         0      1.62       157
       519      88.5      85.4       4.6        50      1.47       126
       535      88.5      86.4       3.1      -150      1.27       104
       550      88.5      87.2       2.0      -150      1.06        74
       566      88.5      87.7       1.2      -150      0.88        50
       581      88.5      87.9       0.9      -150      0.76        35
       597      88.5      88.0       0.8      -100      0.60        24
       612      88.5      88.2       0.5       -50      0.49        15
       628      88.5      88.2       0.5         0      0.39         7
       643      88.5      88.2       0.5         0      0.32         4
       659      88.5      88.2       0.5         0      0.26         2
       674      88.5      88.2       0.5        50      0.21         2
       689      88.5      88.2       0.5        50      0.17         2
       705      88.5      88.2       0.5         0      0.16         3
       720      88.5      88.2       0.5         0      0.10         3
       736      88.5      88.3       0.3         0      0.09         2
       751      88.5      88.2       0.5         0      0.07         3
       767      88.5      88.2       0.5         0      0.06         3
       782      88.5      88.2       0.5         0      0.05         3
       798      88.5      88.2       0.5         0      0.04         3
       813      88.5      88.2       0.5         0      0.03         3
       829      88.5      88.2       0.5         0      0.02         3
       844      88.5      88.2       0.5         0      0.02         3
       860      88.5      88.2       0.5         0      0.02         3
       875      88.5      88.2       0.5         0      0.01         4
       891      88.5      88.2       0.5         0      0.01         3
       906      88.5      88.2       0.5         0      0.01         3
       921      88.5      88.2       0.5         0      0.01         3
       937      88.5      88.2       0.5         0      0.00         3
       952      88.5      88.2       0.5         0      0.00         3
       968      88.5      88.2       0.5         0      0.00         3
       983      88.5      88.2       0.5         0      0.00         3
       999      88.5      88.2       0.5         0      0.00         3

 0.995
----------------
1 +  0.333 p
