     Temps  Consigne  Position  Commande   Courant  Vit. Axe    Moteur
        ms    degrés    degrés     Volts        mA     rad/s     rad/s
         0      11.0      10.5       2.2       250      0.00         3
        10      11.0      10.5       2.2       200      0.00         3
        30      11.1      10.4       2.9       400      0.00         4
        48      11.2      10.6       2.8       500      0.05         7
        65      11.5      10.6       4.0       650      0.06        12
        83      11.9      10.8       4.8       800      0.16        24
       105      12.1      11.0       5.2       800      0.17        32
       123      12.4      11.5       4.3       700      0.25        33
       141      12.7      11.8       4.3       750      0.19        29
       158      13.1      12.3       3.6       750      0.20        24
       176      13.3      12.4       4.5       850      0.26        22
       194      13.7      12.5       5.0      1000      0.26        24
       209      13.9      12.9       4.5       800      0.28        27
       225      14.2      13.2       4.3       600      0.29        28
       240      14.5      13.5       4.2       600      0.29        29
       255      14.7      13.8       4.1       650      0.27        29
       271      15.0      14.1       4.0       650      0.26        26
       286      15.2      14.3       4.2       800      0.26        22
       302      15.5      14.5       4.6       950      0.25        20
       317      15.8      14.7       4.9      1100      0.26        22
       333      16.0      14.9       5.3      1200      0.27        25
       350      16.3      15.2       5.4      1050      0.31        32
       366      16.6      15.4       5.3       800      0.33        37
       382      16.9      15.8       4.7       600      0.33        39
       397      17.1      16.2       4.1       550      0.33        36
       412      17.4      16.5       4.0       550      0.32        29
       428      17.7      16.8       4.0       650      0.27        22
       444      17.9      17.1       3.9       800      0.30        22
       461      18.2      17.2       4.7       950      0.29        25
       476      18.5      17.5       4.6       800      0.31        29
       494      18.8      17.8       4.7       650      0.34        32
       512      19.1      18.1       4.2       650      0.30        33
       527      19.3      18.5       3.7       600      0.31        30
       543      19.6      18.7       4.0       700      0.28        24
       560      19.9      19.0       4.1       800      0.26        20
       578      20.2      19.2       4.6      1000      0.27        22
       596      20.5      19.4       5.2      1200      0.30        28
       613      20.8      19.7       5.2       850      0.31        33
       631      21.1      20.1       4.8       700      0.30        38
       649      21.4      20.5       4.3       600      0.35        37
       666      21.7      20.7       4.5       700      0.27        31
       684      22.0      21.2       3.6       700      0.32        25
       702      22.3      21.3       4.6       850      0.25        24
       719      22.6      21.7       4.1       800      0.32        26
       735      22.9      21.8       4.9       700      0.32        30
       750      23.2      22.2       4.3       550      0.31        32
       768      23.5      22.6       4.0       600      0.30        32
       786      23.8      22.9       4.0       650      0.28        28
       804      24.1      23.2       4.1       850      0.26        24
       821      24.4      23.4       4.6      1050      0.30        24
       839      24.7      23.5       5.2      1100      0.26        29
       856      25.0      23.9       4.7       850      0.32        33
       874      25.3      24.1       5.3       750      0.33        39
       892      25.6      24.6       4.3       550      0.31        39
       909      25.9      25.0       4.0       550      0.31        32
       927      26.2      25.3       4.0       700      0.31        26
       945      26.5      25.6       4.1       850      0.30        26
       962      26.8      25.9       4.1       700      0.27        28
       980      27.1      26.2       4.2       600      0.31        31
       998      27.4      26.3       4.7       700      0.32        36
      1015      27.7      26.7       4.3       700      0.28        35
      1033      28.0      27.1       4.0       750      0.29        29
      1051      28.3      27.3       4.5       850      0.29        26
      1068      28.6      27.6       4.5       950      0.26        27
      1086      28.9      27.9       4.6       850      0.33        32
      1104      29.2      28.1       5.0       700      0.30        38
      1121      29.5      28.6       4.2       600      0.33        39
      1139      29.8      28.9       4.3       650      0.31        34
      1157      30.1      29.2       4.0       700      0.28        30
      1174      30.4      29.5       4.0       750      0.31        29
      1192      30.7      29.7       4.5       700      0.28        29
      1210      31.0      30.1       4.1       550      0.30        31
      1227      31.3      30.3       4.6       700      0.32        35
      1243      31.6      30.6       4.5       700      0.30        35
      1260      31.9      31.0       4.1       650      0.28        29
      1278      32.2      31.3       4.1       900      0.29        25
      1296      32.5      31.5       4.7       950      0.31        27
      1313      32.8      31.7       4.7       850      0.32        32
      1331      33.1      32.1       4.3       550      0.29        37
      1349      33.4      32.5       4.0       500      0.29        38
      1366      33.7      32.7       4.5       700      0.29        34
      1384      34.0      33.0       4.5       800      0.30        31
      1402      34.3      33.3       4.6       800      0.30        30
      1417      34.6      33.6       4.5       700      0.31        32
      1433      34.8      33.9       4.3       600      0.30        35
      1448      35.1      34.2       4.2       500      0.30        36
      1466      35.4      34.4       4.2       550      0.27        33
      1484      35.7      34.7       4.3       700      0.28        27
      1501      36.0      34.9       4.8       950      0.28        26
      1519      36.3      35.2       4.9      1050      0.29        30
      1536      36.6      35.5       4.9       900      0.32        37
      1552      36.9      35.8       4.8       650      0.32        42
      1568      37.1      36.2       4.2       600      0.32        43
      1583      37.4      36.5       4.1       600      0.32        40
      1598      37.7      36.8       4.0       600      0.30        33
      1614      37.9      37.1       4.0       600      0.31        30
      1629      38.2      37.2       4.2       600      0.28        30
      1645      38.5      37.5       4.1       550      0.30        32
      1660      38.7      37.7       4.5       600      0.32        35
      1676      39.0      38.0       4.3       600      0.29        36
      1693      39.3      38.4       4.0       650      0.27        32
      1709      39.5      38.6       4.2       750      0.28        27
      1725      39.8      38.8       4.6       850      0.26        28
      1742      40.1      39.1       4.7       850      0.32        33
      1760      40.4      39.3       5.2       650      0.30        41
      1777      40.7      39.8       4.3       500      0.32        42
      1795      41.0      40.0       4.3       600      0.31        37
      1813      41.3      40.4       4.0       650      0.28        32
      1830      41.6      40.7       4.0       700      0.31        31
      1848      41.9      40.9       4.6       600      0.30        34
      1866      42.2      41.3       4.1       500      0.30        37
      1883      42.5      41.6       4.2       500      0.32        35
      1901      42.8      41.9       4.2       650      0.28        31
      1919      43.1      42.3       4.0       750      0.27        27
      1936      43.4      42.5       4.3       900      0.27        27
      1954      43.7      42.7       4.9       900      0.30        33
      1972      44.1      42.9       5.0       650      0.29        41
      1989      44.3      43.3       4.6       650      0.31        45
      2007      44.7      43.6       4.7       650      0.31        42
      2025      44.9      44.0       4.2       700      0.29        37
      2040      45.2      44.3       4.1       600      0.33        36
      2056      45.5      44.5       4.5       450      0.32        35
      2071      45.7      44.9       4.0       400      0.30        36
      2087      46.0      45.2       3.9       450      0.28        33
      2102      46.3      45.4       4.1       650      0.30        29
      2118      46.5      45.5       4.5       850      0.30        28
      2133      46.8      45.8       4.3       900      0.25        28
      2148      47.1      46.1       4.2      1000      0.27        33
      2166      47.4      46.2       5.2       750      0.30        40
      2184      47.7      46.5       5.3       700      0.33        48
      2201      48.0      46.9       4.8       650      0.31        46
      2219      48.3      47.4       4.0       550      0.32        38
      2237      48.6      47.7       4.0       450      0.29        34
      2253      48.8      48.0       4.0       350      0.32        32
      2270      49.1      48.2       4.5       500      0.29        34
      2288      49.4      48.5       4.0       550      0.27        34
      2303      49.7      48.7       4.3       750      0.29        32
      2319      50.0      48.9       4.7       900      0.27        31
      2334      50.2      49.2       4.6       900      0.29        32
      2349      50.5      49.4       4.9       850      0.30        37
      2365      50.8      49.7       4.8       700      0.32        43
      2380      51.0      50.0       4.7       550      0.32        48
      2396      51.3      50.4       4.1       550      0.32        43
      2411      51.6      50.7       4.0       600      0.30        38
      2427      51.8      51.0       4.0       550      0.31        35
      2442      52.1      51.1       4.2       450      0.28        35
      2458      52.4      51.4       4.1       450      0.30        37
      2473      52.6      51.6       4.5       550      0.30        39
      2489      52.9      51.9       4.3       600      0.28        35
      2504      53.1      52.2       4.2       650      0.24        30
      2520      53.4      52.4       4.6       850      0.25        29
      2535      53.7      52.5       5.4      1000      0.29        34
      2550      53.9      52.7       5.6       800      0.35        43
      2566      54.2      53.1       5.0       650      0.30        50
      2581      54.4      53.6       4.0       600      0.32        48
      2597      54.7      53.7       4.3       600      0.31        42
      2612      55.0      54.0       4.2       550      0.29        38
      2628      55.2      54.3       4.1       450      0.33        38
      2643      55.5      54.5       4.5       450      0.29        40
      2659      55.8      54.9       4.0       550      0.33        40
      2674      56.0      55.1       4.2       600      0.30        37
      2690      56.3      55.5       3.7       650      0.28        32
      2705      56.6      55.7       4.0       700      0.27        29
      2721      56.8      55.9       4.3       700      0.23        32
      2737      57.1      56.1       4.7       650      0.31        38
      2752      57.4      56.2       5.5       700      0.32        49
      2769      57.7      56.6       4.6       600      0.29        48
      2785      57.9      57.0       4.0       500      0.30        42
      2800      58.2      57.2       4.3       550      0.33        40
      2816      58.5      57.5       4.2       450      0.34        40
      2832      58.7      57.9       3.7       300      0.30        39
      2849      59.0      58.3       3.4       350      0.28        33
      2866      59.3      58.5       3.9       650      0.26        29
