     Temps  Consigne  Position  Commande   Courant  Vit. Axe    Moteur
        ms    degrés    degrés     Volts        mA     rad/s     rad/s
         0      10.1       9.4       2.3       250      0.00         2
        10      90.4       9.5      21.1      4300      0.17        68
        25      90.4      10.4      21.1      3950      0.69       136
        40      90.4      12.0      21.1      3750      1.06       182
        56      90.4      14.2      21.1      3300      1.43       215
        71      90.4      16.5      21.1      2900      1.68       241
        89      90.4      19.5      21.1      2650      1.97       258
       104      90.4      21.9      21.1      2700      2.08       267
       122      90.4      25.1      21.1      2400      2.26       277
       140      90.4      27.9      21.1      2450      2.39       282
       155      90.4      30.4      21.1      2500      2.43       284
       171      90.4      33.1      21.1      2200      2.47       290
       186      90.4      35.4      21.1      2300      2.60       291
       202      90.4      37.8      21.1      2450      2.55       292
       217      90.4      40.4      21.1      2100      2.60       295
       233      90.4      42.7      21.1      2350      2.59       295
       248      90.4      45.1      21.1      2250      2.56       297
       264      90.4      47.5      21.1      2100      2.59       298
       279      90.4      49.6      21.1      2400      2.58       299
       295      90.4      52.0      21.1      2050      2.55       300
       310      90.4      54.2      21.1      2200      2.50       298
       325      90.4      56.4      21.1      2300      2.51       301
       341      90.4      58.5      21.1      2100      2.51       301
       356      90.4      60.6      21.1      2300      2.47       301
       372      90.4      62.9      21.1      2100      2.47       303
       387      90.4      64.9      21.1      2150      2.55       302
       403      90.4      67.2      21.1      2300      2.42       302
       418      90.4      69.6      21.1      2000      2.47       304
       434      90.4      71.5      21.1      2300      2.42       303
       449      90.4      73.6      21.1      2100      2.47       304
       465      90.4      75.8      21.1      2150      2.37       303
       480      90.4      78.0      21.1      2300      2.42       304
       496      90.4      79.9      21.1      2000      2.41       304
       511      90.4      82.0      21.1      2300      2.40       303
       527      90.4      84.2      18.8      1600      2.27       296
       542      90.4      86.3      12.6       600      2.18       269
       558      90.4      88.0       7.3      -100      1.98       228
       573      90.4      89.6       2.6      -800      1.67       179
       589      90.4      90.7      -0.8     -1300      1.49       118
       604      90.4      91.2      -2.3     -1350      1.16        70
       620      90.4      91.8      -4.0     -1250      0.93        27
       635      90.4      91.8      -4.0     -1000      0.73        -1
       651      90.4      91.7      -3.8      -700      0.54       -15
       666      90.4      91.6      -3.5      -400      0.40       -20
       682      90.4      91.4      -2.9      -200      0.28       -19
       697      90.4      91.2      -2.3      -100      0.21       -16
       713      90.4      91.0      -1.7       -50      0.18       -11
       728      90.4      90.9      -1.4         0      0.11        -5
       744      90.4      90.9      -1.4       -50      0.10         0
       759      90.4      90.8      -1.1       -50      0.08         3
       775      90.4      90.8      -1.1       -50      0.06         3
       790      90.4      90.8      -1.1       -50      0.08         3
       805      90.4      90.8      -1.1       -50      0.05         3
       821      90.4      90.9      -1.4       -50      0.02         3
       836      90.4      90.9      -1.4       -50      0.02         3
       852      90.4      90.8      -1.1       -50      0.02         3
       867      90.4      90.8      -1.1       -50      0.01         3
       883      90.4      90.8      -1.1       -50      0.01         3
       898      90.4      90.8      -1.1       -50      0.01         3
       914      90.4      90.8      -1.1       -50      0.01         3
       929      90.4      90.8      -1.1       -50      0.01         3
       945      90.4      90.8      -1.1       -50      0.00         3
       960      90.4      90.8      -1.1       -50      0.00         3
       976      90.4      90.8      -1.1       -50      0.00         3
       991      90.4      90.8      -1.1       -50      0.00         3


 1.005
-------------------------------------------------
1 + 2* 0.82/  8.8 p + p²/  8.8²
écart moyen de 154.1°
