     Temps  Consigne  Position  Commande   Courant  Vit. Axe    Moteur
        ms    degrés    degrés     Volts        mA     rad/s     rad/s
         0      11.6      11.1       2.2       200      0.00         3
        10      11.6      11.1       2.2       200      0.00         3
        31      11.7      11.1       2.4       250      0.03         3
        47      11.8      11.0       3.6       400      0.03         5
        62      12.0      11.1       4.1       750      0.10        14
        84      12.2      11.2       4.6       750      0.11        23
       100      12.4      11.5       4.0       700      0.15        27
       117      12.6      11.7       4.0       600      0.15        25
       135      12.8      12.0       3.7       600      0.17        19
       152      13.0      12.2       3.7       650      0.15        16
       168      13.1      12.4       3.6       700      0.14        13
       184      13.3      12.4       4.0       850      0.16        15
       199      13.5      12.5       4.3       900      0.17        17
       214      13.7      12.7       4.2       800      0.21        19
       230      13.9      12.9       4.2       700      0.20        21
       245      14.0      13.2       3.7       550      0.24        20
       261      14.2      13.4       3.6       550      0.17        20
       276      14.4      13.7       3.0       500      0.20        19
       292      14.6      13.7       4.0       600      0.19        19
       307      14.7      13.9       3.9       600      0.17        18
       323      14.9      14.1       3.7       600      0.19        15
       340      15.1      14.2       4.2       750      0.19        14
       356      15.3      14.4       4.1       900      0.16        15
       373      15.5      14.6       4.1       900      0.17        16
       391      15.7      14.7       4.7      1100      0.20        19
       409      15.9      14.9       4.7      1000      0.19        21
       426      16.1      15.2       4.2       900      0.22        24
       444      16.3      15.3       4.3       700      0.23        27
       462      16.5      15.6       4.0       500      0.24        28
       479      16.7      15.9       3.6       400      0.22        24
       497      16.9      16.2       3.1       400      0.22        19
       515      17.1      16.4       3.1       500      0.19        16
       532      17.3      16.6       3.3       600      0.17        13
       550      17.5      16.7       3.7       750      0.18        14
       568      17.7      16.8       4.1       900      0.16        16
       585      17.9      17.0       4.2       950      0.19        19
       603      18.1      17.1       4.7       950      0.21        23
       621      18.3      17.4       4.2       700      0.20        24
       638      18.5      17.7       4.0       500      0.22        23
       656      18.7      17.9       4.0       450      0.21        22
