     Temps  Consigne  Position  Commande   Courant  Vit. Axe    Moteur
        ms    degrés    degrés     Volts        mA     rad/s     rad/s
         0      58.2      58.8       0.8       -50      0.00         3
        10      68.6      58.8      14.8      3100      0.00        74
        27      68.6      59.5      13.7      2900      0.26       118
        44      68.6      60.5      12.1      2000      0.47       140
        62      68.6      61.6      10.5      1200      0.56       144
        78      68.6      62.9       8.6       850      0.62       133
        93      68.6      63.7       7.2       600      0.64       121
       108      68.6      64.5       6.1       350      0.70       105
       124      68.6      65.2       5.1       250      0.62        90
       139      68.6      66.0       3.9       200      0.57        68
       155      68.6      66.4       3.3       100      0.52        53
       170      68.6      66.7       2.8       100      0.46        44
       186      68.6      67.0       2.4       100      0.38        34
       201      68.6      67.1       2.2       100      0.33        24
       217      68.6      67.2       2.0       100      0.26        14
       232      68.6      67.3       1.8       100      0.21         8
       248      68.6      67.3       1.8       100      0.17         4
       263      68.6      67.3       1.8       100      0.14         3
       279      68.6      67.3       1.8       100      0.11         2
       294      68.6      67.3       1.8       100      0.09         2
       310      68.6      67.3       1.8       100      0.07         3
       325      68.6      67.3       1.8       150      0.06         3
       341      68.6      67.3       1.8       150      0.05         3
       356      68.6      67.3       1.8       100      0.04         3
       372      68.6      67.3       1.8       150      0.03         3
       387      68.6      67.3       1.8       150      0.03         3
       402      68.6      67.3       1.8       150      0.02         3
       418      68.6      67.3       1.8       150      0.02         3
       433      68.6      67.3       1.8       100      0.01         3
       449      68.6      67.3       1.8       150      0.01         3
       464      68.6      67.3       1.8       150      0.01         3
       480      68.6      67.3       1.8       150      0.01         3
       495      68.6      67.3       1.8       150      0.01         3
       511      68.6      67.3       1.8       150      0.00         3
       526      68.6      67.3       1.8       150      0.00         3
       542      68.6      67.3       1.8       150      0.00         3
       557      68.6      67.3       1.8       150      0.00         4
       573      68.6      67.3       1.8       150      0.00         3
       588      68.6      67.3       1.8       150      0.00         3
       604      68.6      67.3       1.8       150      0.00         3
       619      68.6      67.3       1.8       150      0.00         3
       635      68.6      67.3       1.8       150      0.00         3
       650      68.6      67.3       1.8       150      0.00         3
       666      68.6      67.3       1.8       150      0.00         3
       681      68.6      67.3       1.8       150      0.00         3
       696      68.6      67.3       1.8       150      0.00         3
       712      68.6      67.3       1.8       150      0.00         3
       727      68.6      67.3       1.8       150      0.00         3
       743      68.6      67.3       1.8       150      0.00         3
       758      68.6      67.3       1.8       150      0.00         3
       774      68.6      67.3       1.8       150      0.00         3
       789      68.6      67.3       1.8       150      0.00         2
       805      68.6      67.3       1.8       150      0.00         3
       820      68.6      67.3       1.8       150      0.00         3
       836      68.6      67.3       1.8       150      0.00         3
       851      68.6      67.3       1.8       150      0.00         4
       867      68.6      67.3       1.8       150      0.00         3
       882      68.6      67.3       1.8       150      0.00         3
       898      68.6      67.3       1.8       150      0.00         3
       913      68.6      67.3       1.8       150      0.00         3
       929      68.6      67.3       1.8       150      0.00         3
       944      68.6      67.3       1.8       150      0.00         3
       960      68.6      67.3       1.8       150      0.00         3
       975      68.6      67.3       1.8       150      0.00         3
       991      68.6      67.3       1.8       150      0.00         3
